,zip,primary_city,county,state,County#,ZCTA5CE10,area-sqm
0,50001,ACKWORTH,Warren,IA,91,50001,62796656
1,50002,ADAIR,Guthrie,IA,39,50002,279202219
2,50003,ADEL,Dallas,IA,25,50003,298086291
3,50005,ALBION,Marshall,IA,64,50005,69623573
4,50006,ALDEN,Hardin,IA,42,50006,317745150
5,50007,ALLEMAN,Polk,IA,77,50007,13782897
6,50008,ALLERTON,Wayne,IA,93,50008,220623573
7,50009,ALTOONA,Polk,IA,77,50009,65207113
8,50010,AMES,Story,IA,85,50010,155294118
9,50011,AMES,Story,IA,85,50011,125094
10,50012,AMES,Story,IA,85,50012,1982622
11,50012,AMES,Story,IA,85,50012,1982622
12,50014,AMES,Story,IA,85,50014,144826088
13,50020,ANITA,Cass,IA,15,50020,249128489
14,50021,ANKENY,Polk,IA,77,50021,66725924
15,50022,ATLANTIC,Cass,IA,15,50022,431883311
16,50023,ANKENY,Polk,IA,77,50023,57424136
17,50025,AUDUBON,Audubon,IA,5,50025,507431421
18,50026,BAGLEY,Guthrie,IA,39,50026,142869501
19,50027,BARNES CITY,Mahaska,IA,62,50027,72891730
20,50028,BAXTER,Jasper,IA,50,50028,114933651
21,50029,BAYARD,Guthrie,IA,39,50029,105038360
22,50032,BERWICK,Polk,IA,77,50032,955390
23,50033,BEVINGTON,Warren,IA,91,50033,288201
24,50034,BLAIRSBURG,Hamilton,IA,40,50034,163484203
25,50035,BONDURANT,Polk,IA,77,50035,116898150
26,50036,BOONE,Boone,IA,8,50036,505063491
27,50038,BOONEVILLE,Dallas,IA,25,50038,8874239
28,50039,BOUTON,Dallas,IA,25,50039,60662047
29,50041,BRADFORD,Franklin,IA,35,50041,1101427
30,50042,BRAYTON,Audubon,IA,5,50042,84162590
31,50044,BUSSEY,Marion,IA,63,50044,118473056
32,50046,CAMBRIDGE,Story,IA,85,50046,119973352
33,50047,CARLISLE,Warren,IA,91,50047,152159628
34,50048,CASEY,Guthrie,IA,39,50048,226573270
35,50049,CHARITON,Lucas,IA,59,50049,523124656
36,50050,CHURDAN,Greene,IA,37,50050,197706628
37,50051,CLEMONS,Marshall,IA,64,50051,66573089
38,50052,CLIO,Wayne,IA,93,50052,50940630
39,50054,COLFAX,Jasper,IA,50,50054,152872278
40,50055,COLLINS,Story,IA,85,50055,126340521
41,50056,COLO,Story,IA,85,50056,149192377
42,50057,COLUMBIA,Marion,IA,63,50057,52183538
43,50058,COON RAPIDS,Carroll,IA,14,50058,364231967
44,50060,CORYDON,Wayne,IA,93,50060,453610186
45,50061,CUMMING,Warren,IA,91,50061,81699043
46,50062,MELCHER-DALLAS,Marion,IA,63,50062,80104319
47,50063,DALLAS CENTER,Dallas,IA,25,50063,170532757
48,50064,DANA,Greene,IA,37,50064,40418909
49,50065,DAVIS CITY,Decatur,IA,27,50065,147902989
50,50066,DAWSON,Dallas,IA,25,50066,64732191
51,50067,DECATUR,Decatur,IA,27,50067,87093517
52,50068,DERBY,Lucas,IA,59,50068,114749633
53,50069,DE SOTO,Dallas,IA,25,50069,13262492
54,50070,DEXTER,Dallas,IA,25,50070,171070769
55,50071,DOWS,Wright,IA,99,50071,293114182
56,50072,EARLHAM,Madison,IA,61,50072,228908869
57,50073,ELKHART,Polk,IA,77,50073,67420142
58,50074,ELLSTON,Ringgold,IA,80,50074,127815922
59,50075,ELLSWORTH,Hamilton,IA,40,50075,119369391
60,50076,EXIRA,Audubon,IA,5,50076,290651382
61,50078,FERGUSON,Marshall,IA,64,50078,660699
62,50101,GALT,Wright,IA,99,50101,25431226
63,50102,GARDEN CITY,Hardin,IA,42,50102,1304963
64,50103,GARDEN GROVE,Decatur,IA,27,50103,157409444
65,50104,GIBSON,Keokuk,IA,54,50104,28940560
66,50105,GILBERT,Story,IA,85,50105,20560447
67,50106,GILMAN,Marshall,IA,64,50106,170141114
68,50107,GRAND JUNCTION,Greene,IA,37,50107,130433186
69,50108,GRAND RIVER,Decatur,IA,27,50108,188608107
70,50109,GRANGER,Polk,IA,77,50109,62757235
71,50111,GRIMES,Polk,IA,77,50111,71484606
72,50112,GRINNELL,Poweshiek,IA,79,50112,475672153
73,50115,GUTHRIE CENTER,Guthrie,IA,39,50115,441185334
74,50116,HAMILTON,Marion,IA,63,50116,44071754
75,50117,HAMLIN,Audubon,IA,5,50117,71657180
76,50118,HARTFORD,Warren,IA,91,50118,51466255
77,50119,HARVEY,Marion,IA,63,50119,40354632
78,50120,HAVERHILL,Marshall,IA,64,50120,43941350
79,50122,HUBBARD,Hardin,IA,42,50122,218621364
80,50123,HUMESTON,Wayne,IA,93,50123,204584834
81,50124,HUXLEY,Story,IA,85,50124,54098688
82,50125,INDIANOLA,Warren,IA,91,50125,426521944
83,50126,IOWA FALLS,Hardin,IA,42,50126,351874830
84,50127,IRA,Jasper,IA,50,50127,28260
85,50128,JAMAICA,Guthrie,IA,39,50128,75898812
86,50129,JEFFERSON,Greene,IA,37,50129,435658650
87,50130,JEWELL,Hamilton,IA,40,50130,171933052
88,50131,JOHNSTON,Polk,IA,77,50131,64666939
89,50132,KAMRAR,Hamilton,IA,40,50132,74609258
90,50133,KELLERTON,Ringgold,IA,80,50133,196966937
91,50134,KELLEY,Story,IA,85,50134,48427675
92,50135,KELLOGG,Jasper,IA,50,50135,195278764
93,50136,KESWICK,Keokuk,IA,54,50136,100632209
94,50138,KNOXVILLE,Marion,IA,63,50138,461827288
95,50139,LACONA,Warren,IA,91,50139,229508368
96,50140,LAMONI,Decatur,IA,27,50140,241678133
97,50141,LAUREL,Marshall,IA,64,50141,93777481
98,50142,LE GRAND,Marshall,IA,64,50142,2566675
99,50143,LEIGHTON,Mahaska,IA,62,50143,92958086
100,50144,LEON,Decatur,IA,27,50144,362605062
101,50146,LINDEN,Dallas,IA,25,50146,75845999
102,50147,LINEVILLE,Wayne,IA,93,50147,187491745
103,50148,LISCOMB,Marshall,IA,64,50148,51098115
104,50149,LORIMOR,Union,IA,88,50149,213449691
105,50150,LOVILIA,Monroe,IA,68,50150,148536678
106,50151,LUCAS,Lucas,IA,59,50151,205563843
107,50153,LYNNVILLE,Jasper,IA,50,50153,80372194
108,50154,MC CALLSBURG,Story,IA,85,50154,53144166
109,50155,MACKSBURG,Madison,IA,61,50155,78501320
110,50156,MADRID,Boone,IA,8,50156,238724015
111,50157,MALCOM,Poweshiek,IA,79,50157,168389373
112,50158,MARSHALLTOWN,Marshall,IA,64,50158,548346934
113,50160,MARTENSDALE,Warren,IA,91,50160,965184
114,50161,MAXWELL,Story,IA,85,50161,211812219
115,50162,MELBOURNE,Marshall,IA,64,50162,132120698
116,50163,MELCHER-DALLAS,Marion,IA,63,50163,1230059
117,50164,MENLO,Guthrie,IA,39,50164,138235040
118,50165,MILLERTON,Wayne,IA,93,50165,6437634
119,50166,MILO,Warren,IA,91,50166,162522428
120,50167,MINBURN,Dallas,IA,25,50167,102610498
121,50168,MINGO,Jasper,IA,50,50168,104773461
122,50169,MITCHELLVILLE,Polk,IA,77,50169,103378565
123,50170,MONROE,Jasper,IA,50,50170,230995030
124,50171,MONTEZUMA,Poweshiek,IA,79,50171,281675684
125,50173,MONTOUR,Tama,IA,86,50173,80140704
126,50174,MURRAY,Clarke,IA,20,50174,278718495
127,50201,NEVADA,Story,IA,85,50201,300453642
128,50206,NEW PROVIDENCE,Hardin,IA,42,50206,124182004
129,50207,NEW SHARON,Mahaska,IA,62,50207,366588282
130,50208,NEWTON,Jasper,IA,50,50208,426046663
131,50210,NEW VIRGINIA,Warren,IA,91,50210,196767136
132,50211,NORWALK,Warren,IA,91,50211,147182178
133,50212,OGDEN,Boone,IA,8,50212,352230522
134,50213,OSCEOLA,Clarke,IA,20,50213,543975469
135,50214,OTLEY,Marion,IA,63,50214,102571148
136,50216,PANORA,Guthrie,IA,39,50216,145699881
137,50217,PATON,Greene,IA,37,50217,178606122
138,50218,PATTERSON,Madison,IA,61,50218,542828
139,50219,PELLA,Marion,IA,63,50219,317144262
140,50220,PERRY,Dallas,IA,25,50220,268176779
141,50222,PERU,Madison,IA,61,50222,108369441
142,50223,PILOT MOUND,Boone,IA,8,50223,76600548
143,50225,PLEASANTVILLE,Marion,IA,63,50225,217246336
144,50226,POLK CITY,Polk,IA,77,50226,109873855
145,50227,POPEJOY,Franklin,IA,35,50227,966375
146,50228,PRAIRIE CITY,Jasper,IA,50,50228,180367188
147,50229,PROLE,Warren,IA,91,50229,105616644
148,50230,RADCLIFFE,Hardin,IA,42,50230,223982113
149,50231,RANDALL,Hamilton,IA,40,50231,1065168
150,50232,REASNOR,Jasper,IA,50,50232,86762448
151,50233,REDFIELD,Dallas,IA,25,50233,130640688
152,50234,RHODES,Marshall,IA,64,50234,81236093
153,50235,RIPPEY,Greene,IA,37,50235,121134316
154,50236,ROLAND,Story,IA,85,50236,89345522
155,50237,RUNNELLS,Polk,IA,77,50237,146002809
156,50238,RUSSELL,Lucas,IA,59,50238,308904729
157,50239,SAINT ANTHONY,Marshall,IA,64,50239,44053312
158,50240,SAINT CHARLES,Madison,IA,61,50240,197714047
159,50242,SEARSBORO,Poweshiek,IA,79,50242,106954493
160,50243,SHELDAHL,Story,IA,85,50243,1425493
161,50244,SLATER,Story,IA,85,50244,57130248
162,50244,SLATER,Story,IA,85,50244,57130248
163,50246,STANHOPE,Hamilton,IA,40,50246,120153227
164,50247,STATE CENTER,Marshall,IA,64,50247,215968634
165,50248,STORY CITY,Story,IA,85,50248,211580755
166,50249,STRATFORD,Hamilton,IA,40,50249,202332923
167,50250,STUART,Adair,IA,1,50250,265060086
168,50251,SULLY,Jasper,IA,50,50251,104817095
169,50252,SWAN,Marion,IA,63,50252,22861403
170,50254,THAYER,Union,IA,88,50254,113653650
171,50255,THORNBURG,Keokuk,IA,54,50255,456756
172,50256,TRACY,Marion,IA,63,50256,70812037
173,50257,TRURO,Madison,IA,61,50257,103296613
174,50258,UNION,Hardin,IA,42,50258,139476319
175,50261,VAN METER,Madison,IA,61,50261,173242731
176,50262,VAN WERT,Decatur,IA,27,50262,83830606
177,50263,WAUKEE,Dallas,IA,25,50263,90002855
178,50264,WELDON,Decatur,IA,27,50264,174299474
179,50265,WEST DES MOINES,Polk,IA,77,50265,46466559
180,50266,WEST DES MOINES,Dallas,IA,25,50266,43060835
181,50268,WHAT CHEER,Keokuk,IA,54,50268,123524623
182,50271,WILLIAMS,Hamilton,IA,40,50271,172819803
183,50272,WILLIAMSON,Lucas,IA,59,50272,1922108
184,50273,WINTERSET,Madison,IA,61,50273,519171420
185,50274,WIOTA,Cass,IA,15,50274,130159776
186,50275,WOODBURN,Clarke,IA,20,50275,131849713
187,50276,WOODWARD,Dallas,IA,25,50276,209846960
188,50277,YALE,Guthrie,IA,39,50277,104624278
189,50278,ZEARING,Story,IA,85,50278,138864198
190,50309,DES MOINES,Polk,IA,77,50309,7776473
191,50310,DES MOINES,Polk,IA,77,50310,21123546
192,50311,DES MOINES,Polk,IA,77,50311,6511832
193,50312,DES MOINES,Polk,IA,77,50312,15051060
194,50313,DES MOINES,Polk,IA,77,50313,47635293
195,50314,DES MOINES,Polk,IA,77,50314,6629721
196,50315,DES MOINES,Polk,IA,77,50315,26560331
197,50316,DES MOINES,Polk,IA,77,50316,9302481
198,50317,DES MOINES,Polk,IA,77,50317,60041842
199,50319,DES MOINES,Polk,IA,77,50319,213707
200,50320,DES MOINES,Polk,IA,77,50320,49547031
201,50321,DES MOINES,Polk,IA,77,50321,30969186
202,50322,URBANDALE,Polk,IA,77,50322,27938267
203,50323,URBANDALE,Dallas,IA,25,50323,19984131
204,50324,WINDSOR HEIGHTS,Polk,IA,77,50324,3740280
205,50325,CLIVE,Polk,IA,77,50325,20224117
206,50327,PLEASANT HILL,Polk,IA,77,50327,49702622
207,50401,MASON CITY,Cerro Gordo,IA,17,50401,387509792
208,50420,ALEXANDER,Franklin,IA,35,50420,117256906
209,50421,BELMOND,Wright,IA,99,50421,232911303
210,50423,BRITT,Hancock,IA,41,50423,376364842
211,50424,BUFFALO CENTER,Winnebago,IA,95,50424,315854649
212,50426,CARPENTER,Mitchell,IA,66,50426,60113
213,50428,CLEAR LAKE,Cerro Gordo,IA,17,50428,316380154
214,50430,CORWITH,Hancock,IA,41,50430,160984015
215,50431,COULTER,Franklin,IA,35,50431,1936776
216,50432,CRYSTAL LAKE,Hancock,IA,41,50432,1127714
217,50433,DOUGHERTY,Cerro Gordo,IA,17,50433,125889253
218,50434,FERTILE,Worth,IA,98,50434,23487419
219,50435,FLOYD,Floyd,IA,34,50435,105304339
220,50436,FOREST CITY,Winnebago,IA,95,50436,354034151
221,50438,GARNER,Hancock,IA,41,50438,342635780
222,50439,GOODELL,Hancock,IA,41,50439,84706319
223,50440,GRAFTON,Worth,IA,98,50440,80665798
224,50441,HAMPTON,Franklin,IA,35,50441,395662654
225,50444,HANLONTOWN,Worth,IA,98,50444,55966912
226,50446,JOICE,Worth,IA,98,50446,108869780
227,50447,KANAWHA,Hancock,IA,41,50447,261433926
228,50448,KENSETT,Worth,IA,98,50448,160165797
229,50449,KLEMME,Hancock,IA,41,50449,95013046
230,50450,LAKE MILLS,Winnebago,IA,95,50450,214081289
231,50451,LAKOTA,Kossuth,IA,55,50451,164530815
232,50452,LATIMER,Franklin,IA,35,50452,127424687
233,50453,LELAND,Winnebago,IA,95,50453,114347611
234,50454,LITTLE CEDAR,Mitchell,IA,66,50454,44766360
235,50455,MC INTIRE,Mitchell,IA,66,50455,84207513
236,50456,MANLY,Worth,IA,98,50456,120430473
237,50457,MESERVEY,Cerro Gordo,IA,17,50457,88503707
238,50458,NORA SPRINGS,Floyd,IA,34,50458,190798489
239,50459,NORTHWOOD,Worth,IA,98,50459,375483499
240,50460,ORCHARD,Mitchell,IA,66,50460,93166151
241,50461,OSAGE,Mitchell,IA,66,50461,446474922
242,50464,PLYMOUTH,Cerro Gordo,IA,17,50464,61009266
243,50465,RAKE,Winnebago,IA,95,50465,9497218
244,50466,RICEVILLE,Howard,IA,45,50466,354341172
245,50467,ROCK FALLS,Cerro Gordo,IA,17,50467,709984
246,50468,ROCKFORD,Floyd,IA,34,50468,256209489
247,50469,ROCKWELL,Cerro Gordo,IA,17,50469,227879604
248,50470,ROWAN,Wright,IA,99,50470,62885229
249,50471,RUDD,Floyd,IA,34,50471,110089036
250,50472,SAINT ANSGAR,Mitchell,IA,66,50472,316417010
251,50473,SCARVILLE,Winnebago,IA,95,50473,96000513
252,50475,SHEFFIELD,Franklin,IA,35,50475,231102519
253,50476,STACYVILLE,Mitchell,IA,66,50476,101702581
254,50477,SWALEDALE,Cerro Gordo,IA,17,50477,58455862
255,50478,THOMPSON,Winnebago,IA,95,50478,191575269
256,50479,THORNTON,Cerro Gordo,IA,17,50479,150266394
257,50480,TITONKA,Kossuth,IA,55,50480,163023328
258,50482,VENTURA,Cerro Gordo,IA,17,50482,81166123
259,50483,WESLEY,Kossuth,IA,55,50483,198210428
260,50484,WODEN,Hancock,IA,41,50484,113720772
261,50501,FORT DODGE,Webster,IA,94,50501,407215780
262,50510,ALBERT CITY,Buena Vista,IA,11,50510,219732120
263,50511,ALGONA,Kossuth,IA,55,50511,321723723
264,50514,ARMSTRONG,Emmet,IA,32,50514,287766282
265,50515,AYRSHIRE,Palo Alto,IA,74,50515,96076793
266,50516,BADGER,Webster,IA,94,50516,63984856
267,50517,BANCROFT,Kossuth,IA,55,50517,198110964
268,50518,BARNUM,Webster,IA,94,50518,80803741
269,50519,BODE,Humboldt,IA,46,50519,142395653
270,50520,BRADGATE,Humboldt,IA,46,50520,62072927
271,50521,BURNSIDE,Webster,IA,94,50521,3160848
272,50522,BURT,Kossuth,IA,55,50522,176225395
273,50523,CALLENDER,Webster,IA,94,50523,109190936
274,50524,CLARE,Webster,IA,94,50524,148535431
275,50525,CLARION,Wright,IA,99,50525,363773781
276,50527,CURLEW,Palo Alto,IA,74,50527,141597255
277,50528,CYLINDER,Palo Alto,IA,74,50528,191696767
278,50529,DAKOTA CITY,Humboldt,IA,46,50529,1445412
279,50530,DAYTON,Webster,IA,94,50530,168385319
280,50531,DOLLIVER,Emmet,IA,32,50531,100449294
281,50532,DUNCOMBE,Webster,IA,94,50532,181717930
282,50533,EAGLE GROVE,Wright,IA,99,50533,258503120
283,50535,EARLY,Sac,IA,81,50535,158492375
284,50536,EMMETSBURG,Palo Alto,IA,74,50536,370232494
285,50538,FARNHAMVILLE,Calhoun,IA,13,50538,80889010
286,50539,FENTON,Kossuth,IA,55,50539,139538906
287,50540,FONDA,Pocahontas,IA,76,50540,275625728
288,50541,GILMORE CITY,Humboldt,IA,46,50541,237749663
289,50542,GOLDFIELD,Wright,IA,99,50542,172884137
290,50543,GOWRIE,Webster,IA,94,50543,212824794
291,50544,HARCOURT,Webster,IA,94,50544,75465666
292,50545,HARDY,Humboldt,IA,46,50545,97252233
293,50546,HAVELOCK,Pocahontas,IA,76,50546,137019674
294,50548,HUMBOLDT,Humboldt,IA,46,50548,323465219
295,50551,JOLLEY,Calhoun,IA,13,50551,69704315
296,50554,LAURENS,Pocahontas,IA,76,50554,232762069
297,50556,LEDYARD,Kossuth,IA,55,50556,101116000
298,50557,LEHIGH,Webster,IA,94,50557,130151481
299,50558,LIVERMORE,Humboldt,IA,46,50558,114721586
300,50559,LONE ROCK,Kossuth,IA,55,50559,102790935
301,50560,LU VERNE,Kossuth,IA,55,50560,225654488
302,50561,LYTTON,Calhoun,IA,13,50561,119358374
303,50562,MALLARD,Palo Alto,IA,74,50562,165098566
304,50563,MANSON,Calhoun,IA,13,50563,253318021
305,50565,MARATHON,Buena Vista,IA,11,50565,114004136
306,50566,MOORLAND,Webster,IA,94,50566,89865522
307,50567,NEMAHA,Sac,IA,81,50567,67326397
308,50568,NEWELL,Buena Vista,IA,11,50568,220071293
309,50569,OTHO,Webster,IA,94,50569,54889709
310,50570,OTTOSEN,Humboldt,IA,46,50570,112220748
311,50571,PALMER,Pocahontas,IA,76,50571,115641227
312,50573,PLOVER,Pocahontas,IA,76,50573,1045738
313,50574,POCAHONTAS,Pocahontas,IA,76,50574,288134473
314,50575,POMEROY,Calhoun,IA,13,50575,163446600
315,50576,REMBRANDT,Buena Vista,IA,11,50576,93051632
