join_year,1-Jan,2-Feb,3-Mar,4-Apr,5-May,6-Jun,7-Jul,8-Aug,9-Sep,10-Oct,11-Nov,12-Dec
2002,0,0,0,0,0,0,0.0625,0.25,0.125,0.3125,0.0625,0.1875
2003,0.0154,0.0154,0.0923,0.1385,0.0615,0.0615,0.0615,0.0923,0.1077,0.1077,0.1538,0.0923
2004,0.0619,0.0515,0.1237,0.1237,0.1031,0.0928,0.0412,0.0619,0.1237,0.0412,0.0928,0.0825
2005,0.0613,0.0491,0.0859,0.0675,0.1227,0.1043,0.0613,0.1104,0.1104,0.0736,0.0982,0.0552
2006,0.104,0.0842,0.0792,0.1139,0.0545,0.1188,0.0842,0.0545,0.104,0.0743,0.0594,0.0693
2007,0.0618,0.0534,0.0506,0.4185,0.0393,0.0281,0.0815,0.0618,0.0449,0.0871,0.0478,0.0253
2008,0.1295,0.0576,0.0935,0.0612,0.0755,0.0827,0.1043,0.0576,0.0863,0.1151,0.0647,0.0719
2009,0.0246,0.0185,0.0162,0.0215,0.02,0.1946,0.1454,0.1323,0.1515,0.11,0.09,0.0754
2010,0.0985,0.084,0.0802,0.0888,0.091,0.0926,0.0829,0.0942,0.078,0.0823,0.07,0.0576
2011,0.0905,0.076,0.0971,0.0865,0.0815,0.0915,0.0966,0.0961,0.087,0.0739,0.0659,0.0573
2012,0.1137,0.0756,0.0879,0.0873,0.0862,0.0914,0.0979,0.0862,0.0768,0.0768,0.0604,0.0598
2013,0.0953,0.0802,0.0669,0.0702,0.0914,0.0953,0.1008,0.0958,0.093,0.078,0.0758,0.0574
2014,0.101,0.0759,0.0876,0.071,0.0759,0.0823,0.1074,0.1004,0.0833,0.0924,0.0614,0.0614
2015,0.1039,0.0781,0.0836,0.0796,0.0689,0.0907,0.0978,0.1004,0.0902,0.0831,0.0568,0.0669
2016,0.1009,0.0184,0.0597,0.1356,0.1605,0.1811,0.1616,0.0282,0.0141,0.051,0.0889,0